StudyID,Authors,observations,Fever_37.3up,Fever_38up,Fever_39up,Fever,Cough,Sputumproduction,Sorethroat,Myalgia,Fatigue,Shortnessofbreath,Dyspnea,Headache,Nausea,Diarrhea,setting,Ethics,Date_first_time,Date_last,control_number,age_mean,age_median
76_137,Gritti et al.,21,NA,NA,NA,19,13,NA,NA,3,4,NA,15,NA,NA,5,Case Series,Italy,2020/3/11,2020/3/24,NA,NA,64
76_139-end of the observation period,,104,NA,NA,NA,36,43,NA,11,NA,NA,NA,19,NA,NA,10,Case Series,Japan,2020/2/11,2020/2/25,NA,NA,68
76_141,Kluytmans et al.,86,NA,NA,NA,46,66,NA,34,54,NA,33,NA,49,NA,16,Case Series,the Netherlands,2020/3/7,2020/3/12,NA,NA,49
76_47,Luo et al.,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,68,Case Series,China,2020/1/1,2020/2/20,NA,53.8,NA
76_48,Dong et al. ,11,4,4,2,6,8,1,3,1,2,1,NA,2,1,2,Case Series,China,2020/1/23,2020/2/14,NA,36.6,NA
76_57,Nie et al.,97,NA,NA,NA,57,54,15,10,NA,NA,NA,8,7,NA,12,Case Series,China,2020/2/9,2020/2/28,NA,NA,39
76_58,Qi et al.,267,225,44,NA,225,189,NA,NA,NA,208,NA,43,NA,NA,10,Case Series,China,2020/1/19,2020/2/16,NA,NA,48
76_59,Qi et al.,57,48,32,NA,48,28,NA,NA,10,NA,7,NA,NA,NA,NA,Case Series,China,2020/1/21,2020/2/15,NA,46.5,NA
76_61-training_positive,Song et al.,73,NA,NA,NA,69,44,17,NA,NA,NA,NA,16,9,NA,3,Case Series,China,2020/1/20,2020/2/5,NA,NA,53
76_62,Zhang et al.,72,4,2,NA,4,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,China,2019/12/30,2020/2/7,NA,58.68,NA
76_63,Tao et al.,167,NA,NA,NA,16,15,NA,NA,NA,10,11,NA,NA,NA,NA,Case Series,China,2020/1/1,2020/3/31,NA,NA,46
76_65,Wang et al.,11,NA,NA,NA,11,9,1,NA,4,5,NA,NA,0,NA,1,Case Series,China,2020/1/26,2020/2/18,NA,NA,58
76_66-severe pneumonia,Wang et al.,38,33,28,3,33,21,NA,NA,NA,10,NA,15,NA,NA,NA,Case Series,China,2020/1/1,2020/2/10,NA,NA,NA
76_66-non severe pneumonia,Wang et al.,72,58,36,5,58,47,NA,NA,NA,31,NA,21,NA,NA,NA,Case Series,China,2020/1/1,2020/2/10,NA,NA,NA
76_67-AMI group,Xu et al. ,6,NA,NA,NA,6,3,3,NA,1,2,NA,1,NA,NA,2,Case Series,China,2020/1/2,2020/2/14,NA,NA,78.5
76_67-cardiac marker abnomality,Xu et al. ,24,NA,NA,NA,22,21,11,NA,3,9,NA,7,NA,NA,1,Case Series,China,2020/1/2,2020/2/14,NA,NA,48.5
76_67-without cardiac marker,Xu et al. ,23,NA,NA,NA,19,17,11,NA,4,2,NA,3,NA,NA,5,Case Series,China,2020/1/2,2020/2/14,NA,NA,40
76_68,Xu et al.,69,NA,NA,NA,68,43,27,10,NA,40,11,NA,23,6,7,Case Series,China,2020/2/7,2020/2/28,NA,NA,57
76_70(on set symptom),Zeng et al.,338,NA,NA,NA,218,175,NA,44,40,46,NA,NA,24,NA,25,Case Series,China,2020/1/11,2020/2/29,NA,49,NA
76_73,Zhang et al. ,67,NA,NA,NA,53,50,30,NA,6,30,44,22,NA,10,11,Case Series,China,2020/1/5,2020/2/18,NA,NA,66
76_74,Zhang Y.,212,NA,NA,NA,167,140,111,72,58,78,89,NA,60,NA,93,Case Series,China,2020/2/18,2020/3/2,NA,48.5,NA
76_76,Zhou et al.,197,NA,NA,NA,153,89,NA,11,9,NA,10,NA,NA,NA,NA,Case Series,China,2020/1/17,2020/2/26,NA,55.94,NA
76_77,Ai et al. ,20,NA,NA,NA,16,11,NA,NA,NA,2,NA,NA,3,NA,3,Cohort,China,2020/1/22,2020/2/9,33,NA,37
76_79-meplazumab group,Bian et al.,17,16,7,2,16,9,1,NA,NA,NA,NA,10,NA,NA,2,Cohort,China,2020/2/3,2020/2/10,NA,NA,51
76_79-control,Bian et al.,11,11,4,2,11,7,2,NA,NA,NA,NA,7,NA,NA,1,Cohort,China,2020/2/3,2020/2/10,NA,NA,64
76_82-favipiravir,Chen et al.,116,NA,NA,NA,NA,70,13,9,2,40,NA,9,NA,NA,22,Cohort,China,2020/2/20,2020/3/1,NA,NA,NA
76_82-arbidol,Chen et al.,120,NA,NA,NA,NA,64,11,17,3,27,NA,4,NA,NA,15,Cohort,China,2020/2/20,2020/3/1,NA,NA,NA
76_83,Chen et al.,175,NA,NA,NA,71,109,NA,13,41,NA,NA,23,NA,NA,35,Cohort,China,2020/1/11,2020/2/15,NA,45,NA
76_88,Chen et al.,123,NA,NA,NA,85,62,NA,NA,40,67,NA,26,21,NA,20,Case Series,China,2020/1/5,2020/2/7,NA,51,NA
76_89,Chen et al.,25,NA,NA,NA,18,16,NA,NA,17,20,NA,7,2,NA,5,Case Series,China,2020/1/26,2020/2/28,NA,51.4,NA
76_91-group1,Chen et al.,31,NA,NA,NA,21,16,10,NA,7,13,NA,NA,NA,2,2,Case Series,China,2020/1/16,2020/1/22,NA,33.32,NA
76_91-group2,Chen et al.,58,NA,NA,NA,19,24,4,NA,3,8,NA,NA,NA,0,3,Case Series,China,2020/1/23,2020/1/29,NA,33.55,NA
76_92,Chen et al.,62,NA,NA,NA,39,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cohort,China,2020/2/4,2020/2/28,NA,44.7,NA
76_93,Cui et al.,35,NA,NA,NA,25,4,NA,NA,4,1,1,NA,NA,NA,NA,Case Series,China,2020/1/28,2020/2/18,NA,61.5,NA
76_94-convalescent patient,Dong et al.,16,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,China,2020/2/1,2020/3/31,0,52.75,NA
76_95,Duan et al.,10,NA,NA,NA,7,8,5,1,1,NA,8,NA,1,2,2,Case Series,China,2020/1/23,2020/2/19,NA,NA,52.5
76_96,Fan et al.,55,NA,NA,NA,32,27,NA,7,NA,8,8,NA,2,4,6,Case Series,China,2020/1/20,2020/3/15,NA,46.8,NA
76_97,Fan et al.,148,127,57,12,127,67,38,NA,NA,NA,NA,NA,NA,3,6,Case Series,China,2020/1/20,2020/1/31,NA,50,NA
76_98,Fei et al.,192,NA,NA,NA,165,91,NA,NA,NA,102,NA,NA,NA,NA,113,Cohort,China,2020/1/1,2020/1/30,NA,NA,NA
76_99,Feng et al.,7,6,4,0,6,5,3,5,6,NA,0,NA,5,0,0,Cohort,China,2020/1/14,2020/2/9,NA,NA,39
78_2,Zhao et al.,101,NA,NA,NA,79,63,NA,12,NA,NA,NA,1,NA,2,3,Case Series,China,NA,NA,NA,44.44,43
78_20,Liu et al.,109,NA,NA,NA,90,67,NA,NA,NA,62,NA,NA,NA,NA,12,Case Series,China,2020/1/2,2020/2/1,NA,NA,55
819-1,Nie et al. ,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,China,2020/2/14,2020/3/18,NA,58.4,NA
819-10,Roland et al.,145,NA,NA,NA,NA,79,NA,59,NA,NA,NA,NA,93,NA,NA,Case Series,USA,2020/3/31,2020/4/10,NA,40,NA
819-100,Kihira et al.,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,Case Series,USA,2020/3/16,2020/4/5,NA,64.9,NA
819-101,Lee et al.,56,NA,NA,NA,26,37,NA,21,NA,4,21,NA,10,NA,20,Case Series,Canada,2020/3/16,2020/4/15,NA,NA,38
819-103,Lee et al. ,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,Korea,2020/2/18,2020/3/4,NA,NA,72
819-106,Merkler et al.,1497,NA,NA,NA,1275,1297,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cohort,USA,2020/3/4,2020/5/2,NA,NA,64
819-107,Moein et al.,60,NA,NA,NA,46,35,NA,NA,5,NA,31,NA,22,NA,NA,Case Control,Iran,2020/3/21,2020/4/5,60,NA,46.55
819-108,Moro et al. ,2343,NA,NA,NA,2122,2105,NA,NA,NA,2082,NA,2097,NA,NA,2063,Cohort,"Europe, whole world",2020/4/9,2020/4/27,NA,NA,NA
819-109,Nalleballe et al. ,9086,NA,NA,NA,NA,NA,NA,NA,821,NA,NA,NA,1501,NA,NA,Case Series,USA,2020/3/24,2020/6/10,NA,NA,NA
819-11,Aggarwal et al.,43,NA,NA,NA,15,14,NA,2,NA,8,NA,13,4,NA,1,Case Series,USA,2020/3/1,2020/4/4,NA,NA,67
819-110,Li et al. ,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,China,2020/2/29,2020/3/2,NA,NA,NA
819-111,Li et al. ,93,NA,NA,NA,89,66,29,NA,34,63,NA,32,NA,NA,16,Case Series,China,2020/1/10,2020/2/22,NA,51,NA
819-114,D'Ascanio et al. ,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,Case Control,Italy,2020/2/1,2020/4/24,25,58.1,NA
819-115,Dawson et al. ,42,14,14,NA,27,NA,NA,18,24,15,19,NA,32,NA,11,Case Series,USA,2020/3/1,2020/4/30,48,NA,21
819-118,Tian et al.,751,NA,NA,NA,514,368,135,46,NA,153,NA,152,37,NA,89,Cohort,China,2020/1/13,2020/3/18,NA,NA,64
819-120,Du et al. ,12,NA,NA,NA,12,6,NA,4,NA,10,NA,NA,3,NA,2,Case Series,China,2020/1/23,2020/2/11,NA,45.25,NA
819-122,Trubiano et al.,28,6,6,NA,14,21,NA,14,NA,NA,11,NA,6,NA,8,Case Series,Australia,2020/4/20,2020/4/22,NA,NA,55
819-124,Escalard et al.,10,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,Case Series,France,2020/3/1,2020/4/15,27,NA,59.5
819-125,Farahani et al. ,10,8,8,4,8,10,NA,NA,NA,10,NA,10,10,NA,NA,Case Series,Iran,NA,NA,NA,NA,50
819-126,Freni et al. ,50,NA,NA,NA,20,30,NA,NA,NA,NA,NA,20,NA,NA,NA,Case Series,Italy,NA,NA,NA,37.7,NA
819-127,Galanopoulou et al.,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,USA,2020/3/1,2020/4/15,6,63.23,64
819-128,Tudrej et al. ,816,NA,NA,NA,366,450,NA,54,166,NA,NA,143,359,NA,174,Case Series,France,2020/3/24,2020/4/14,618,NA,45
819-133,Burke et al. ,164,NA,NA,NA,131,138,NA,NA,103,102,93,NA,97,NA,NA,Case Series,USA,2020/1/14,2020/4/4,NA,NA,50
819-134,Cecchetti et al. ,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,Italy,2020/3/1,2020/4/30,NA,NA,NA
819-135,Chen et al.,12,NA,NA,NA,NA,9,NA,NA,NA,1,NA,NA,NA,NA,4,Case Series,China,2020/1/28,2020/2/11,NA,NA,14.5
819-137,Denis et al.,2477174,NA,NA,NA,828952,1515557,NA,NA,NA,NA,NA,658442,NA,NA,497665,Case Series,France,2020/3/17,2020/3/29,NA,NA,37
819-138,Duan et al.,25,NA,NA,NA,23,15,9,5,NA,14,NA,7,NA,1,2,Case Series,China,2020/1/10,2020/2/8,NA,52,NA
819-139,Fraisse et al.,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cohort,France,2020/3/6,2020/4/22,NA,NA,61
819-14_most obvious symptom,Sakalli et al.,172,NA,NA,NA,24,30,NA,4,16,25,NA,NA,17,NA,4,Case Series,Turkey,NA,NA,NA,37.8,NA
819-142,Guo et al. ,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Control,China,2020/2/10,2020/2/28,54,42.5,NA
819-143,Kaye et al.,237,NA,NA,NA,90,98,NA,NA,NA,NA,NA,NA,88,NA,NA,Case Series,"USA, whole world",2020/3/25,2020/4/3,NA,39.6,36
819-147,Luo et al.,60,NA,NA,NA,50,41,20,11,NA,24,NA,NA,8,NA,10,Case Series,China,2020/1/27,2020/2/11,NA,43.56,NA
819-149,Myrstad et al. ,66,NA,NA,NA,46,40,NA,NA,NA,NA,NA,43,NA,NA,NA,Cohort,Norway,2020/3/9,2020/4/27,NA,67.9,71.5
819-150,Naeini et al. ,49,NA,NA,NA,41,31,NA,22,NA,31,NA,32,35,NA,NA,Case Series,Iran,2020/4/1,2020/5/15,NA,45.08,NA
819-154,Petrescu et al.,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,France,2020/3/25,2020/5/6,NA,69.75,NA
819-156-total,Peyrony et al.,391,NA,NA,NA,259,239,NA,NA,93,55,NA,197,27,NA,NA,Cohort,France,2020/3/9,2020/4/4,166,NA,62
819-156-covid positive,Peyrony et al.,225,NA,NA,NA,176,158,NA,NA,71,34,NA,131,15,NA,NA,Cohort,France,2020/3/9,2020/4/4,NA,NA,NA
819-158,Pons-Escoda et al.,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,Spain,2020/3/1,2020/4/18,NA,NA,74
819-159,Porta-Etessam et al. ,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,21,NA,Case Series,Spain,2020/4/16,2020/4/18,NA,43.4,NA
819-162,Radmanesh et al. ,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,USA,2020/4/5,2020/4/25,NA,53,NA
819-163,Reddy et al.,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,USA,2020/3/1,2020/5/10,NA,56.33,NA
819-165,Soltani et al.,30,NA,NA,NA,23,16,NA,6,NA,NA,23,20,NA,8,3,Case Series,Iran,2020/3/1,2020/4/15,NA,6,5.5
819-169,Tenforde et al.,316,NA,NA,NA,167,91,91,89,NA,198,114,NA,171,93,109,Case Series,USA,2020/3/1,2020/5/31,NA,NA,NA
819-173,Vespignani et al. ,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,France,2020/3/18,2020/3/31,NA,67,NA
819-174-onset symptom,Wang et al.,131,NA,NA,NA,114,74,NA,NA,NA,36,NA,34,NA,NA,23,Cohort,China,2020/2/3,2020/2/21,NA,NA,49
819-175,Wu et al.,14,NA,NA,NA,9,4,NA,NA,NA,8,NA,NA,NA,NA,NA,Case Series,China,NA,NA,NA,39,NA
819-176-critically-ill aPLs negative,Xiao et al.,35,NA,NA,NA,31,32,12,NA,9,15,NA,28,6,NA,12,Case Series,China,NA,NA,NA,64.5,NA
819-176-critically-ill aPLs positive single/multiple,,16,NA,NA,NA,14,12,6,NA,4,3,NA,15,2,NA,3,Case Series,China,NA,NA,NA,66.5,NA
819-176-critically-ill aPLs positive multiple,,15,NA,NA,NA,13,10,4,NA,3,8,NA,11,3,NA,2,Case Series,China,NA,NA,NA,65.2,NA
819-176-non critically-ill,,13,NA,NA,NA,8,9,0,NA,0,0,NA,0,0,NA,0,Case Series,China,NA,NA,NA,35.2,NA
819-177,Xie et al.,21,NA,NA,NA,19,11,2,NA,1,NA,NA,NA,NA,NA,1,Case Series,China,2020/1/1,2020/2/15,NA,54,NA
819-18,Liu et al.,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,China,2020/1/30,2020/2/15,30,43.1,NA
819-180,Yan et al.,316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,USA,2020/3/9,2020/4/29,NA,NA,NA
819-181,Yang et al. ,136,125,89,39,125,117,NA,NA,NA,53,NA,19,NA,NA,22,Case Series,China,2020/1/28,2020/2/12,NA,NA,56
819-182,Yin et al.,30,NA,NA,NA,24,22,13,0,4,8,NA,13,5,4,5,Cohort,China,2020/2/7,2020/2/14,NA,52.7,NA
819-183,Chen et al. ,1859,NA,NA,NA,1448,619,715,NA,315,695,716,NA,107,NA,243,Case Series,China,2020/1/20,2020/4/4,NA,NA,59
819-184,Yu et al.,129,86,38,4,86,70,25,NA,25,39,NA,23,NA,9,12,Cohort,China,2020/2/13,2020/2/28,NA,NA,64
819-185-normal,Yuan et al. ,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,China,2020/2/21,2020/3/14,NA,45.2,NA
819-185-depression,Yuan et al. ,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,China,2020/2/21,2020/3/14,NA,49.6,NA
819-186-hospitalized,Zarghami et al.,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,Iran,2020/3/1,2020/4/30,NA,40.34,NA
819-186-non-hospitalized,Zarghami et al.,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,Iran,2020/3/1,2020/4/30,NA,43.62,NA
819-187,Zayet et al.,70,53,53,NA,66,56,20,14,41,65,NA,24,51,22,28,Cohort,France,2020/2/26,2020/3/14,54,56.7,NA
819-188,Zayet et al. ,95,70,70,NA,NA,75,NA,NA,NA,NA,NA,40,74,NA,NA,Case Series,France,2020/3/30,2020/4/3,122,39.8,NA
819-19,Chiesa et al. ,72,NA,NA,NA,36,54,NA,45,51,NA,NA,NA,56,NA,22,Cohort,Germany,2020/3/22,2020/3/28,NA,NA,NA
819-191,Zhang et al.,869,60,NA,NA,565,424,NA,18,114,226,NA,47,18,18,58,Cohort,China,2020/2/6,2020/2/20,NA,NA,NA
819-194,Zheng et al.,161,NA,NA,NA,122,101,NA,NA,18,64,NA,23,12,6,17,Cohort,China,2020/1/17,2020/2/7,NA,NA,45
819-195,Zheng et al. ,34,NA,NA,NA,20,7,10,NA,5,2,NA,NA,2,NA,2,Cohort,China,2020/1/22,2020/3/5,NA,NA,66
819-196,Zhou et al. ,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Control,China,NA,NA,29,NA,NA
819-197,Zhou et al. ,21,NA,NA,NA,17,19,10,4,2,5,13,NA,0,0,5,Cohort,China,2020/1/28,2020/3/2,NA,66.1,NA
819-198,Mahammedi et al.,725,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,13,NA,NA,Cohort, Italy ,2020/2/29,2020/4/4,NA,69,71
819-199,Solomon et al. ,18,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,Case Series,england,2020/4/14,2020/4/29,NA,NA,62
819-20,Lombardi et al.,1573,NA,NA,NA,205,230,NA,151,60,NA,NA,32,88,49,NA,Cohort,Italy,2020/2/24,2020/3/31,NA,44.5,NA
819-202,Yaghi S et al. ,169,NA,NA,NA,22,25,7,9,NA,21,NA,20,13,NA,14,Cohort,American,2020/3/3,2020/4/8,NA,NA,53.5
819-206,Suleyman et al. ,463,NA,NA,NA,315,347,NA,NA,194,NA,NA,282,74,94,100,Case Series,American,2020/3/9,2020/3/27,NA,57.5,NA
819-207,Ziehr et al.,66,NA,NA,NA,57,58,NA,NA,36,44,NA,60,NA,14,18,Cohort,American,2020/3/11,2020/3/30,NA,NA,58
819-208,Dogra et al. ,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cohort,American,2020/3/1,2020/4/27,NA,61.6,62
819-21,Oualha et al. ,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cohort,American,2020/2/10,2020/4/20,NA,NA,6
819-210,Parma et al.,4039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cohort,American,NA,NA,NA,41.38,NA
819-212,Liguori et al.,103,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,40,NA,NA,Cohort,American,2020/3/30,2020/4/24,NA,55,NA
819-214,Giacomelli et al. ,59,NA,NA,NA,43,22,NA,NA,NA,NA,NA,15,2,NA,NA,Cohort,American,NA,NA,NA,NA,60
819-23,Kim et al. ,2491,NA,NA,NA,1835,1855,NA,NA,722,NA,1740,NA,NA,621,676,Cohort,American,2020/3/1,2020/5/2,NA,NA,62
819-24,Kim et al. ,213,20,NA,NA,NA,69,68,31,54,46,NA,7,54,7,NA,Cohort,Korea,2020/3/12,2020/3/16,NA,NA,26
819-27,Lovato et al.,121,NA,NA,NA,89,76,NA,NA,46,83,NA,NA,NA,NA,NA,Cohort,Italy,NA,NA,NA,46.7,NA
819-28,Chiesa-Estomba et al.,751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cohort,Spain,NA,NA,NA,41,NA
819-29,Chougar et al. ,1176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cohort,France,2020/3/23,2020/5/7,NA,58.5,NA
819-3,Wei et al.,936,NA,NA,NA,716,163,NA,4,10,66,NA,8,NA,1,18,Cohort,China,2020/1/30,2020/2/4,NA,53,NA
819-30,Chung et al.,5,NA,NA,NA,2,1,2,NA,NA,NA,1,NA,NA,NA,NA,Case Control,China,2020/4/6,2020/4/9,NA,28,NA
819-31,Gaur et al.,26,NA,NA,NA,16,11,NA,14,10,NA,6,NA,8,NA,NA,Case Series,India,2020/3/18,2020/4/9,NA,37.6,37.6
819-32-    case,Altin et al.,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Control,Germany,2020/3/25,2020/4/20,NA,54.16,NA
819-33,Annweiler et al.,353,NA,NA,NA,NA,208,82,NA,NA,NA,NA,NA,NA,22,77,Cohort,French,2020/3/22,2020/4/5,NA,84.7,NA
819-34,Gomez-Iglesias et al.,909,NA,NA,NA,170,199,NA,NA,296,NA,NA,NA,NA,NA,NA,Cohort,Spain,2019/3/20,2019/3/24,NA,34,NA
819-35,Clemency et al.,961,NA,NA,NA,143,166,NA,83,128,150,NA,83,NA,NA,57,Cohort,American,2020/3/26,2020/4/16,NA,NA,NA
819-36,Coelho et al.,220,NA,NA,NA,123,129,NA,NA,141,164,NA,67,154,NA,83,Cohort,American,2020/4/10,2020/4/23,NA,42.8,NA
819-39,Lovell et al.,101,NA,NA,NA,9,4,NA,NA,NA,9,NA,NA,NA,NA,NA,Case Series,UK,2020/3/4,2020/3/26,NA,NA,82
819-4,Haehner et al.,500,NA,NA,NA,19,81,NA,NA,NA,NA,NA,19,NA,NA,NA,Cohort,Germany,NA,NA,NA,NA,NA
819-41 COVID-19 Positive,Sayin et al.,64,NA,NA,NA,18,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cohort, Turkey,2020/4/21,2020/5/13,NA,NA,39
819-42,"Schmithausen RM, Dohla M, Schobetaler H, Diegmann C, Schulte B, Richter E, et al.",41,NA,NA,NA,17,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cohort,Germany,NA,NA,NA,NA,40
819-44    Cases,Belani et al.,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Control,American,2020/3/16,2020/4/5,NA,NA,NA
819-46,Hernandezet al.,1683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cohort,Spain,2020/3/1,2020/4/19,NA,NA,16
819-47,Covino M et al.,69,NA,NA,NA,56,29,NA,NA,NA,8,NA,32,NA,NA,NA,Cohort,Italy,2020/3/1,2020/3/31,NA,NA,84
819-48,Biadsee et al.,140,NA,NA,NA,54,94,NA,34,60,NA,NA,NA,52,NA,NA,Cohort,Israel,2020/2/25,2020/4/15,NA,36.25,NA
819-55 Overall,Huang et al.,475,168,NA,NA,314,170,NA,70,53,98,45,45,51,15,23,Cohort,China,2020/1/21,2020/2/7,NA,NA,40
819-55 COVID-19,Huang et al.,336,114,NA,NA,216,122,NA,54,39,83,33,33,39,14,19,Cohort,China,2020/1/21,2020/2/7,NA,NA,43
819-55 control,Huang et al.,139,54,NA,NA,98,48,NA,16,14,15,12,12,12,1,4,Cohort,China,2020/1/21,2020/2/7,139,NA,34
819-56,Parra et al.,10,NA,NA,NA,9,9,NA,NA,4,5,NA,8,NA,NA,3,Cohort,Spain,2020/3/1,2020/4/1,NA,54.1,NA
819-57,Luers et al.,72,NA,NA,NA,36,54,NA,45,51,NA,NA,NA,56,NA,22,Cohort,Germany,2020/3/22,2020/3/28,NA,38,NA
819-59      Total,Song S et al.,211,NA,141,NA,141,85,NA,NA,30,56,NA,39,15,NA,22,Cohort,China,2020/1/29,2020/2/4,NA,NA,51
819-59        RT-PCR Positive,Song S et al.,111,NA,93,NA,93,64,NA,NA,21,37,NA,23,11,NA,17,Cohort,China,2020/1/29,2020/2/4,NA,NA,55
819-59       RT-PCR Negative,Song S et al.,100,NA,48,NA,48,21,NA,NA,9,19,NA,16,4,NA,5,Cohort,China,2020/1/29,2020/2/4,NA,NA,47.5
819-6       SARS-CoV-2     pa-tients,Renaud et al.,347,NA,NA,NA,170,151,NA,14,53,NA,NA,NA,166,NA,NA,Cohort,France,NA,NA,NA,NA,37
819-6       PCR+,Renaud et al.,97,NA,NA,NA,50,47,NA,3,15,NA,NA,NA,50,NA,NA,Cohort,France,NA,NA,NA,NA,35
819-6          PCR-,Renaud et al.,250,NA,NA,NA,120,104,NA,11,38,NA,NA,NA,116,NA,NA,Cohort,France,NA,NA,NA,NA,38
819-60,Immovilli et al.,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cohort,Italy,2020/2/21,2020/4/28,NA,76.05,NA
819-61,Pastor et al.,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,Spain,NA,NA,NA,NA,NA
819-62        Positive           COVID-19,Izquierdo et al.,846,NA,NA,NA,302,257,NA,22,NA,NA,NA,64,NA,NA,NA,Cohort,Spain,2020/3/21,2020/4/18,NA,56.8,56.8
819-62 Negative         COVID-19,Izquierdo et al.,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cohort,Spain,2020/3/21,2020/4/18,NA,53.5,53.5
819-63,Ma et al.,93,NA,NA,NA,76,75,NA,NA,20,40,NA,60,14,NA,29,Cohort,China,2020/1/28,2020/2/29,NA,NA,67
819-64,Ma et al.,770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cohort,China,2020/2/24,2020/3/8,NA,5.06,NA
819-65,Mao et al.,1004,NA,267,NA,843,622,NA,176,141,250,63,NA,84,17,43,Cohort,China,2020/1/17,2020/2/16,NA,NA,40
819-67,Mariotto et al.,107,NA,NA,NA,103,NA,NA,NA,16,47,NA,NA,12,NA,25,Cohort,Italy,NA,NA,NA,66,NA
819-68,Mathian et al.,17,NA,NA,NA,17,14,4,6,8,NA,14,NA,10,3,7,Cohort,France,2020/3/29,2020/4/6,NA,NA,53.5
819-7,Gao et al.,210,NA,NA,NA,151,148,NA,NA,12,73,NA,17,13,11,24,Cohort,China,2020/1/23,2020/2/9,NA,NA,71
819-70,Patel et al.,141,111,NA,NA,111,102,NA,NA,93,NA,86,NA,NA,NA,45,Cohort,UK,2020/3/1,2020/4/1,NA,45.6,NA
819-71,Mehrpour et al.,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cohort,Iran,2019/2/15,2020/4/15,NA,75.6,NA
819-72,Mei et al.,494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cohort,China,2020/1/20,2020/3/31,NA,NA,40
